id,title,exerciseType,copy,recommendedTime
Sensation-0,Sensation,Sensation,Close your eyes and take a few deep breaths then feel the sensations in the bottom of your feet.,30000
Sensation-1,Sensation,Sensation,"Close your eyes and take a few deep breaths, then place your attention on your hands. Feel the sensations there. ",30000
Sensation-2,Sensation,Sensation,Close your eyes and take a few breaths. What are you feeling in your torso? Pay close attention to the sensations there.,30000
Sensation-3,Sensation,Sensation,Close your eyes and take a few breaths. What are you feeling in your forehead? Pay close attention to the sensations there.,30000
Sensation-4,Sensation,Sensation,Close your eyes and take a few breaths. What are you feeling in your eyes? Pay close attention to the sensations there.,30000
Sensation-5,Sensation,Sensation,Close your eyes and feel the entire surface of your back.,30000
Sensation-6,Sensation,Sensation,Close your eyes and feel the tips of your toes. Bring your attention back to the area if you get distracted.,30000
