id,title,exerciseType,copy,recommendedTime
Thought-0,Thought 1,Thought,What is the next thought you are about to have?,30000
Thought-1,Thought 2,Thought,Notice the next 5 thoughts you are about to have.,30000
Thought-2,Thought 3,Thought,"Who is observing the thought ""I am""?",30000
Thought-3,Thought 4,Thought,Can you observe the space in which thoughts are occurring?,30000
Thought-4,Thought 5,Thought,Observe the space *in between* your thoughts.,30000
Thought-5,Thought 6,Thought,"With your eyes open, notice the next 10 thoughts.",30000
