id,title,exerciseType,copy,recommendedTime
See-0,See 1,See,Look around and notice everything that is green and blue in your environment.,30000
See-1,See 2,See,"Pick out an object and focus on it as intensely as you can. When thoughts arise, let them go and refocus on the object.",30000
See-2,See 3,See,"Lower your gaze, unfocus your eyes and pay attention to your entire visual field.",30000
See-3,See 4,See,"Pick up an object and stare at it for 20 seconds. Who is looking at it? Who is looking at the thought ""I am""?",30000
See-4,See 5,See,Close your eyes. Observe the patterns of light and dark on your eyelid.,30000
