id,title,exerciseType,copy,recommendedTime
Awareness-0,Awareness 1,Awareness,"Who is aware of the thought ""I am""?",30000
Awareness-1,Awareness 2,Awareness,Wait for the next thought to come. Are you that thought?,30000
Awareness-2,Awareness 3,Awareness,"Look at something in your environment. As you look at it, ask who is looking.",30000
Awareness-3,Awareness 4,Awareness,"Close your eyes, and notice the space around and between thoughts. Who is aware of that space?",30000
Awareness-4,Awareness 5,Awareness,Who are you? (Answer this question in your mind). Who is observing the thoughts which are responding to this question?,30000
